Date,Open,High,Low,Close,Volume
2020-01-02,95.751,97.377,95.751,97.079,234198
2020-01-03,95.394,96.187,94.442,95.314,320599
2020-01-07,95.195,96.385,94.204,95.156,317243
2020-01-08,95.136,95.651,94.164,94.164,253289
2020-01-09,95.255,96.544,95.255,96.088,525220
2020-01-10,96.187,98.468,96.187,98.17,698061
2020-01-13,98.17,99.36,98.17,99.162,625838
2020-01-14,99.261,100.65,98.666,98.963,467311
2020-01-15,98.666,98.666,96.703,97.932,728474
2020-01-16,97.972,99.142,97.813,98.666,400934
2020-01-17,99.162,100.15,98.904,100.15,324605
2020-01-20,100.3,100.7,99.211,99.56,222302
2020-01-21,98.825,98.825,96.385,96.941,724753
2020-01-22,96.782,97.555,95.81,96.187,510806
2020-01-23,95.493,97.357,95.294,95.552,668750
2020-01-24,96.207,97.853,96.207,96.544,819541
2020-01-27,95.552,95.592,92.181,92.379,1052685
2020-01-28,92.815,94.105,91.011,92.915,717159
2020-01-29,93.45,94.759,92.538,93.311,521044
2020-01-30,90.892,93.172,90.436,91.725,543798
2020-01-31,92.22,92.895,89.96,90.436,1093345
2020-02-03,91.031,91.903,90.753,91.824,488559
2020-02-04,92.875,95.79,92.815,95.632,714821
2020-02-05,96.187,97.873,95.294,97.258,581662
2020-02-06,97.774,98.428,95.989,96.881,283446
2020-02-07,95.79,95.989,93.41,93.946,603906
2020-02-10,94.065,94.699,90.574,91.387,653758
2020-02-11,92.439,93.41,91.487,93.41,886828
2020-02-12,93.212,96.048,93.212,95.989,327487
2020-02-13,94.64,95.076,93.232,93.886,331214
2020-02-14,94.204,94.204,92.637,93.113,249763
2020-02-17,94.105,95.136,93.708,94.759,114836
2020-02-18,93.589,93.926,92.32,92.617,284458
2020-02-19,93.232,93.926,92.796,92.934,262101
2020-02-20,93.034,93.946,89.841,91.487,621978
2020-02-21,89.741,90.931,89.067,90.118,382384
2020-02-24,88.333,88.333,83.712,84.208,864887
2020-02-25,84.208,87.203,83.296,83.316,923254
2020-02-26,82.602,83.197,79.329,81.392,1199047
2020-02-27,80.837,80.837,74.57,75.938,760587
2020-02-28,73.181,74.371,69.413,69.949,1794171
2020-03-02,73.38,74.887,70.107,72.388,1192778
2020-03-03,74.371,78.318,73.757,77.168,1210240
2020-03-04,76.612,78.139,74.966,74.966,589616
2020-03-05,76.493,76.692,72.408,72.507,625197
2020-03-06,71.119,71.218,68.481,69.374,958477
2020-03-09,62.452,65.149,60.429,61.679,1358674
2020-03-10,63.107,66.121,61.48,61.679,1161672
2020-03-11,62.174,63.245,58.049,58.307,1138524
2020-03-12,54.638,55.035,48.986,48.986,1352878
2020-03-13,52.357,56.423,49.819,52.04,2006341
2020-03-16,52.06,52.338,47.608,51.108,1950554
2020-03-17,52.556,56.344,52.437,54.539,1891983
2020-03-18,51.564,54.638,49.68,52.219,2070825
2020-03-19,52.556,57.514,52.536,55.987,1089780
2020-03-20,59.001,61.381,57.177,57.435,2067151
2020-03-23,55.947,56.919,53.547,54.182,1191449
2020-03-24,57.514,58.208,56.026,57.95,1155017
2020-03-25,60.489,60.489,56.126,58.466,1261456
2020-03-26,56.542,59.001,56.165,58.862,842162
2020-03-27,59.358,59.438,57.078,57.613,701576
2020-03-30,58.386,58.486,56.245,56.919,589747
2020-03-31,58.208,59.596,57.91,59.319,1011504
2020-04-01,58.505,59.378,57.593,58.228,641897
2020-04-02,58.406,58.902,56.74,58.466,790887
2020-04-03,58.466,58.843,56.82,58.743,1331364
2020-04-06,60.092,64.832,60.092,64.455,1330945
2020-04-07,67.252,70.98,67.033,68.422,1854683
2020-04-08,68.58,69.215,66.716,66.934,1004869
2020-04-09,68.422,68.917,66.637,68.759,874692
2020-04-14,72.19,75.264,71.357,74.332,1388502
2020-04-15,75.363,75.363,68.937,69.671,1202827
2020-04-16,70.405,70.861,68.937,70.028,665887
2020-04-17,72.507,73.181,71.694,71.833,707723
2020-04-20,72.348,72.527,70.504,72.21,530567
2020-04-21,70.901,71.297,68.521,69.175,716573
2020-04-22,68.818,71.892,67.331,71.396,622323
2020-04-23,71.892,73.181,70.98,73.181,555386
2020-04-24,72.289,73.479,71.694,72.19,419951
2020-04-27,73.38,73.598,71.218,71.892,523076
2020-04-28,71.892,73.36,70.464,72.924,588443
2020-04-29,73.38,77.802,73.023,77.049,785624
2020-04-30,77.247,78.635,75.165,76.335,765942
2020-05-04,74.371,74.669,72.507,73.38,550443
2020-05-05,74.371,75.581,73.638,74.233,335956
2020-05-06,74.371,74.47,72.785,73.38,522448
2020-05-07,73.519,75.264,72.487,74.55,422803
2020-05-08,75.422,76.652,75.383,76.355,349521
2020-05-11,76.731,77.247,73.995,74.708,428043
2020-05-12,73.995,75.978,73.816,75.006,313087
2020-05-13,74.371,74.887,73.181,73.181,399638
2020-05-14,72.785,73.677,70.464,71.396,710542
2020-05-15,72.388,74.173,72.071,72.15,575904
2020-05-18,73.876,80.619,73.876,80.44,2234873
2020-05-19,81.095,83.276,79.667,82.205,915786
2020-05-20,82.205,82.82,80.599,82.403,591856
2020-05-21,82.403,82.602,80.222,80.42,475286
2020-05-22,78.338,79.667,77.426,79.25,429143
2020-05-25,80.123,80.579,79.468,79.766,183470
2020-05-26,81.412,84.625,80.876,84.486,859049
2020-05-27,84.486,88.115,83.474,84.605,1273040
2020-05-28,85.775,86.132,83.613,84.664,938057
2020-05-29,84.288,86.271,84.288,85.557,1221265
2020-06-01,87.56,88.115,85.775,86.687,486779
2020-06-02,86.866,88.056,86.172,87.362,682103
2020-06-03,87.56,89.067,86.945,87.124,776905
2020-06-04,87.064,88.373,86.35,87.461,624126
2020-06-05,88.254,91.526,88.036,90.753,1034680
2020-06-08,90.753,90.931,88.869,90.039,603338
2020-06-09,90.039,90.634,86.866,87.877,715872
2020-06-10,88.254,89.523,86.846,89.146,622072
2020-06-12,85.16,88.254,83.792,86.667,726847
2020-06-15,84.347,84.942,82.602,84.188,794267
2020-06-16,86.271,89.008,85.854,86.985,792993
2020-06-17,88.016,88.294,85.22,86.092,607182
2020-06-18,86.271,88.234,85.497,85.775,722257
2020-06-19,86.767,87.798,86.37,87.163,999252
2020-06-22,87.143,87.223,85.596,86.191,310787
2020-06-23,85.815,89.206,85.815,89.146,570776
2020-06-24,89.107,90.912,87.6,87.818,501200
2020-06-25,87.481,89.325,87.203,89.107,430452
2020-06-26,89.246,90.079,87.659,87.937,555024
2020-06-29,87.857,89.702,87.857,89.702,374514
2020-06-30,89.741,90.455,88.849,90.138,868340
2020-07-01,89.801,92.22,89.682,92.181,750681
2020-07-02,92.201,95.691,91.963,94.581,1093395
2020-07-03,94.581,95.195,92.934,93.47,380752
2020-07-06,95.294,97.079,94.977,96.187,584959
2020-07-07,95.909,96.365,94.699,96.187,416491
2020-07-08,95.592,96.782,95.453,96.385,386292
2020-07-09,96.881,101.49,96.881,100.55,1502713
2020-07-10,99.459,101.15,98.17,101.15,521789
2020-07-13,103.13,107.69,102.53,106.85,1256059
2020-07-14,105.11,105.66,102.93,104.67,853038
2020-07-15,105.11,106.85,104.12,106.2,688266
2020-07-16,104.52,106.1,103.62,106.1,611205
2020-07-17,105.41,106.5,104.57,106.35,632695
2020-07-20,105.86,109.67,105.11,109.67,1025271
2020-07-21,110.47,113.09,110.17,112.05,1231439
2020-07-22,112.25,114.63,112.05,114.04,1299954
